dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200272149,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101110_12_45_1,budstikkasoegne,,,,,Kristiansand,20101110,2010,,,,,,,digavis
200272100,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091118_11_43_1,budstikkasoegne,,,,,Kristiansand,20091118,2009,,,,,,,digavis
200272088,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090826_11_31_1,budstikkasoegne,,,,,Kristiansand,20090826,2009,,,,,,,digavis
200272188,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110824_13_34_1,budstikkasoegne,,,,,Kristiansand,20110824,2011,,,,,,,digavis
200272138,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100825_12_34_1,budstikkasoegne,,,,,Kristiansand,20100825,2010,,,,,,,digavis
200272032,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080702_10_26_1,budstikkasoegne,,,,,Kristiansand,20080702,2008,,,,,,,digavis
200272112,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100217_12_7_1,budstikkasoegne,,,,,Kristiansand,20100217,2010,,,,,,,digavis
200272020,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080409_10_14_1,budstikkasoegne,,,,,Kristiansand,20080409,2008,,,,,,,digavis
200272080,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090617_11_23_1,budstikkasoegne,,,,,Kristiansand,20090617,2009,,,,,,,digavis
200272158,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110119_13_3_1,budstikkasoegne,,,,,Kristiansand,20110119,2011,,,,,,,digavis
200272154,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101215_12_51_1,budstikkasoegne,,,,,Kristiansand,20101215,2010,,,,,,,digavis
200272115,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100310_12_10_1,budstikkasoegne,,,,,Kristiansand,20100310,2010,,,,,,,digavis
200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,,,,,Kristiansand,20080319,2008,,,,,,,digavis
200272143,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100929_12_39_1,budstikkasoegne,,,,,Kristiansand,20100929,2010,,,,,,,digavis
200272137,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100818_12_33_1,budstikkasoegne,,,,,Kristiansand,20100818,2010,,,,,,,digavis
200272180,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110629_13_25_1,budstikkasoegne,,,,,Kristiansand,20110629,2011,,,,,,,digavis
200272117,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100324_12_12_1,budstikkasoegne,,,,,Kristiansand,20100324,2010,,,,,,,digavis
